wall_time,episode_idx,road_id,sim_time_s,property,rho,status
2026-06-20 02:58:17,1,172,19.54507,P5_recovery,-0.2953,violated
2026-06-20 02:58:19,1,172,21.89704,P5_recovery,-0.1694,violated
2026-06-20 02:58:22,1,172,24.23851,P5_recovery,-0.2723,violated
2026-06-20 02:58:27,2,489,1.74339,P5_recovery,-0.0032,violated
2026-06-20 02:58:27,2,489,1.89526,P6_curvature_safety,-0.0039,violated
2026-06-20 02:58:29,2,489,4.43152,P5_recovery,-0.0106,violated
2026-06-20 02:58:32,2,489,6.80635,P5_recovery,-0.0421,violated
2026-06-20 02:58:32,2,489,7.21318,P3_steering_smoothness,-0.01088,violated
2026-06-20 02:58:33,2,489,7.89492,P4_heading_alignment,-0.07421,violated
2026-06-20 02:58:33,2,489,8.16479,P5_recovery,-0.0087,violated
2026-06-20 02:58:33,2,489,8.50429,P1_lane_keeping,-0.002,violated
2026-06-20 02:58:34,2,489,9.23652,P5_recovery,-0.0962,violated
2026-06-20 02:58:35,2,489,10.60168,P5_recovery,-0.1088,violated
2026-06-20 02:58:37,2,489,12.20584,P5_recovery,-0.1237,violated
2026-06-20 02:58:38,2,489,13.13619,P5_recovery,-0.3015,violated
2026-06-20 02:58:40,2,489,15.43326,P5_recovery,-0.2911,violated
2026-06-20 02:58:42,2,489,17.44819,P5_recovery,-0.0022,violated
2026-06-20 02:58:49,3,240,3.88244,P5_recovery,-0.0385,violated
2026-06-20 02:58:50,3,240,5.31496,P4_heading_alignment,-0.04237,violated
2026-06-20 02:58:50,3,240,5.57502,P5_recovery,-0.0186,violated
2026-06-20 02:58:50,3,240,5.77126,P3_steering_smoothness,-0.03324,violated
2026-06-20 02:58:51,3,240,5.93216,P1_lane_keeping,-0.0401,violated
2026-06-20 02:58:51,3,240,6.43512,P6_curvature_safety,-0.00135,violated
2026-06-20 02:58:53,3,240,8.12949,P5_recovery,-0.0472,violated
2026-06-20 02:58:54,3,240,9.68236,P5_recovery,-0.0523,violated
2026-06-20 02:58:55,3,240,10.43509,P5_recovery,-0.3052,violated
2026-06-20 02:58:57,3,240,12.51633,P5_recovery,-0.0803,violated
2026-06-20 02:58:58,3,240,13.36497,P5_recovery,-0.0811,violated
2026-06-20 02:59:00,3,240,14.9911,P5_recovery,-0.1308,violated
2026-06-20 02:59:01,3,240,15.92557,P5_recovery,-0.0829,violated
2026-06-20 02:59:03,3,240,17.99891,P5_recovery,-0.4956,violated
2026-06-20 02:59:04,3,240,19.44585,P5_recovery,-0.2594,violated
2026-06-20 02:59:06,3,240,21.41005,P5_recovery,-0.2607,violated
2026-06-20 02:59:08,3,240,22.80956,P5_recovery,-0.2605,violated
2026-06-20 02:59:09,3,240,24.31996,P5_recovery,-0.117,violated
2026-06-20 02:59:11,3,240,26.58014,P5_recovery,-0.0645,violated
2026-06-20 02:59:13,3,240,28.15364,P5_recovery,-0.1649,violated
2026-06-20 02:59:14,3,240,29.32536,P5_recovery,-0.4063,violated
2026-06-20 02:59:25,4,352,7.86915,P5_recovery,-0.0034,violated
2026-06-20 02:59:26,4,352,8.28721,P3_steering_smoothness,-0.02832,violated
2026-06-20 02:59:26,4,352,8.73915,P4_heading_alignment,-0.0228,violated
2026-06-20 02:59:27,4,352,9.05774,P5_recovery,-0.0041,violated
2026-06-20 02:59:27,4,352,9.83937,P5_recovery,-0.2469,violated
2026-06-20 02:59:27,4,352,9.83937,P6_curvature_safety,-0.00049,violated
2026-06-20 02:59:27,4,352,9.98827,P1_lane_keeping,-0.0882,violated
2026-06-20 02:59:29,4,352,12.02731,P5_recovery,-0.136,violated
2026-06-20 02:59:30,4,352,12.99411,P5_recovery,-0.0741,violated
2026-06-20 02:59:32,4,352,15.01084,P5_recovery,-0.0998,violated
2026-06-20 02:59:33,4,352,15.93838,P5_recovery,-0.237,violated
2026-06-20 02:59:36,4,352,18.36953,P5_recovery,-0.0568,violated
2026-06-20 02:59:37,4,352,19.31409,P5_recovery,-0.2533,violated
2026-06-20 02:59:38,4,352,20.53356,P5_recovery,-0.2819,violated
2026-06-20 02:59:39,4,352,21.73645,P5_recovery,-0.0251,violated
2026-06-20 02:59:42,4,352,24.24315,P5_recovery,-0.2902,violated
2026-06-20 02:59:44,4,352,26.22455,P5_recovery,-0.1139,violated
2026-06-20 02:59:45,4,352,27.61694,P5_recovery,-0.1852,violated
2026-06-20 02:59:47,4,352,29.74116,P5_recovery,-0.2277,violated
